record_id,source,doi,wavelength_nm,absorption_per_m,uncertainty_per_m,temperature_C,medium,measurement_method,source_table,source_role,quality_flag,permitted_use,notes
MASON-2016-001,Mason_Cone_Fry_2016,10.1364/AO.55.007163,250,0.058710,0.017790,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-050,Mason_Cone_Fry_2016,10.1364/AO.55.007163,388,0.001620,0.000310,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-051,Mason_Cone_Fry_2016,10.1364/AO.55.007163,390,0.001700,0.000300,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-052,Mason_Cone_Fry_2016,10.1364/AO.55.007163,392,0.001750,0.000290,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-053,Mason_Cone_Fry_2016,10.1364/AO.55.007163,394,0.001850,0.000280,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-054,Mason_Cone_Fry_2016,10.1364/AO.55.007163,396,0.001960,0.000280,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-055,Mason_Cone_Fry_2016,10.1364/AO.55.007163,398,0.002080,0.000280,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-056,Mason_Cone_Fry_2016,10.1364/AO.55.007163,400,0.002220,0.000270,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-057,Mason_Cone_Fry_2016,10.1364/AO.55.007163,402,0.002370,0.000270,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-058,Mason_Cone_Fry_2016,10.1364/AO.55.007163,404,0.002480,0.000280,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-059,Mason_Cone_Fry_2016,10.1364/AO.55.007163,406,0.002570,0.000290,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-060,Mason_Cone_Fry_2016,10.1364/AO.55.007163,408,0.002590,0.000310,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-061,Mason_Cone_Fry_2016,10.1364/AO.55.007163,410,0.002660,0.000320,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-062,Mason_Cone_Fry_2016,10.1364/AO.55.007163,412,0.002710,0.000290,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-063,Mason_Cone_Fry_2016,10.1364/AO.55.007163,414,0.002800,0.000290,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-064,Mason_Cone_Fry_2016,10.1364/AO.55.007163,416,0.002880,0.000300,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-065,Mason_Cone_Fry_2016,10.1364/AO.55.007163,418,0.003000,0.000310,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-066,Mason_Cone_Fry_2016,10.1364/AO.55.007163,420,0.003120,0.000300,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-067,Mason_Cone_Fry_2016,10.1364/AO.55.007163,422,0.003220,0.000290,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-068,Mason_Cone_Fry_2016,10.1364/AO.55.007163,424,0.003310,0.000290,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-069,Mason_Cone_Fry_2016,10.1364/AO.55.007163,426,0.003440,0.000300,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-070,Mason_Cone_Fry_2016,10.1364/AO.55.007163,428,0.003580,0.000310,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-071,Mason_Cone_Fry_2016,10.1364/AO.55.007163,430,0.003760,0.000310,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-072,Mason_Cone_Fry_2016,10.1364/AO.55.007163,432,0.003950,0.000340,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-073,Mason_Cone_Fry_2016,10.1364/AO.55.007163,434,0.004170,0.000360,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-074,Mason_Cone_Fry_2016,10.1364/AO.55.007163,436,0.004420,0.000380,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-075,Mason_Cone_Fry_2016,10.1364/AO.55.007163,438,0.004800,0.000360,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-076,Mason_Cone_Fry_2016,10.1364/AO.55.007163,440,0.005220,0.000380,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-077,Mason_Cone_Fry_2016,10.1364/AO.55.007163,442,0.005740,0.000400,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-078,Mason_Cone_Fry_2016,10.1364/AO.55.007163,444,0.006260,0.000500,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-079,Mason_Cone_Fry_2016,10.1364/AO.55.007163,446,0.006910,0.000570,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-080,Mason_Cone_Fry_2016,10.1364/AO.55.007163,448,0.007510,0.000550,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-081,Mason_Cone_Fry_2016,10.1364/AO.55.007163,450,0.008080,0.000520,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-082,Mason_Cone_Fry_2016,10.1364/AO.55.007163,452,0.008420,0.000440,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-083,Mason_Cone_Fry_2016,10.1364/AO.55.007163,454,0.008630,0.000480,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-084,Mason_Cone_Fry_2016,10.1364/AO.55.007163,456,0.008770,0.000450,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-085,Mason_Cone_Fry_2016,10.1364/AO.55.007163,458,0.008930,0.000560,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-086,Mason_Cone_Fry_2016,10.1364/AO.55.007163,460,0.009090,0.000520,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-087,Mason_Cone_Fry_2016,10.1364/AO.55.007163,462,0.009330,0.000570,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
