dataset_id,wavelength_nm,property_symbol,property_name,value_per_m,uncertainty_per_m,error_percent,optical_property_class,medium,temperature_C,salinity_PSU,measurement_method,source_type,uncertainty_reported,study01_usable,use_scope,research_verdict,citation,doi,source_url,notes
OPD-001,440,a,absorption_coefficient,0.0076,0.0008,11,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,450,a,absorption_coefficient,0.0105,0.0010,10,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,460,a,absorption_coefficient,0.0118,0.0022,18,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,470,a,absorption_coefficient,0.0124,0.0014,11,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,480,a,absorption_coefficient,0.0153,0.0010,6,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,490,a,absorption_coefficient,0.0157,0.0014,9,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,500,a,absorption_coefficient,0.0260,0.0019,7,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,510,a,absorption_coefficient,0.0384,0.0018,5,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,520,a,absorption_coefficient,0.0488,0.0057,12,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,530,a,absorption_coefficient,0.0498,0.0031,6,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,540,a,absorption_coefficient,0.0604,0.0050,8,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,550,a,absorption_coefficient,0.0697,0.0033,5,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,560,a,absorption_coefficient,0.0741,0.0045,6,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,570,a,absorption_coefficient,0.0813,0.0058,7,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,580,a,absorption_coefficient,0.0933,0.0147,16,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,590,a,absorption_coefficient,0.1440,0.0276,19,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,600,a,absorption_coefficient,0.2660,0.0238,9,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,610,a,absorption_coefficient,0.2610,0.0226,9,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,620,a,absorption_coefficient,0.2950,0.0217,7,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,630,a,absorption_coefficient,0.3310,0.0403,12,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,640,a,absorption_coefficient,0.3560,0.0394,11,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
